Car,Policy Holder,465070
Household,Policy Holder,428285
Pension Term Assurance & Critical Illness,Policy Holder,428285
Other,Policy Holder,416423
Other,Life Assured,413385
NULL,Policy Holder,171999
NULL,Life Assured,155481
Travel,Policy Holder,134151
Stocks and Shares ISA,Policy Holder,121058
Stocks and Shares ISA,Life Assured,111992
PHI Index Linked,Life Assured,76451
PHI Index Linked,Policy Holder,76451
Guaranteed Growth Bond,Life Assured,67049
Retirement Account - Personal Pension,Policy Holder,64775
Retirement Account - Personal Pension,Life Assured,64380
Guaranteed Growth Bond,Policy Holder,64155
"Single premium, single life endowment with profits or paid-up policy",Policy Holder,63302
"Single premium, single life endowment with profits or paid-up policy",Payer,62956
Group Scheme - Current Cost Scheme Growth Benefit,Life Assured,61033
PHI Irreducible Benefit,Life Assured,60695
PHI Irreducible Benefit,Policy Holder,60695
Single premium joint life endowment policy with profits,Life Assured,57623
"Single premium, single life endowment with profits or paid-up policy",Life Assured,57180
Personal Accident Assault Cover,Policy Holder,56582
Retirement account ( protected rights),Annuitant,56562
BMA Scheme,Life Assured,52071
BMA Scheme,Policy Holder,52036
Professional Expenses,Policy Holder,51975
Professional Expenses,Life Assured,51975
Wesleyan UK Balanced ISA Portfolio,Policy Holder,50340
Guaranteed income bond 100%,Policy Holder,50340
Single premium joint life endowment policy with profits,Policy Holder,49159
Retirement account ( add. Contributions) without indexation option,Annuitant,48641
Wesleyan UK Balanced ISA Portfolio,Payer,46681
Guaranteed income bond 100%,Payer,46681
Retirement Account - APPS,Policy Holder,40724
Retirement Account - APPS,Life Assured,40410
Income Protection,Policy Holder,39990
Retirement account ( protected rights),Policy Holder,39382
With profit regular premium self employed pension with benefits expressed in terms of capital amount and guaranteed annuity rate,Annuitant,38824
Income Protection,Life Assured,38611
Mortgage Prot Plan,Policy Holder,36334
Term Assurance,Policy Holder,35256
Guaranteed Income Bond (100%),Policy Holder,34223
Term Assurance,Life Assured,34027
Guaranteed Income Bond (100%),Life Assured,33795
Mortgage Prot Plan,Life Assured,33607
Single premium joint life endowment policy with profits,Payer,33319
Guaranteed income bond 90%,Payer,31332
Retirement account ( protected rights),Life Assured,31329
Guaranteed income bond 90%,Policy Holder,31306
Retirement account ( protected rights),Payer,31300
Single life endowment policy with profits,Payer,31197
Term Assurance,Payer,31196
Single life endowment policy with profits,Policy Holder,30821
Retirement account ( add. Contributions) without indexation option,Policy Holder,29485
Single life endowment policy with profits,Life Assured,29485
"Joint life, low cost endowment",Life Assured,29057
Procuration Fees,Policy Holder,28419
Premier Income Protector,Life Assured,28077
Commercial Property,Life Assured,28077
Premier Income Protector,Policy Holder,28077
Commercial Property,Policy Holder,28077
Stocks and Shares ISA (Adviser),Policy Holder,27243
Stocks and Shares ISA (Adviser),Life Assured,27220
Wesleyan UK Balanced ISA Portfolio,Life Assured,27191
Guaranteed income bond 100%,Life Assured,27191
Endowment With Profit,Life Assured,26594
Procuration Fees,Life Assured,26555
Group Scheme - Current Cost Scheme Level Benefit,Life Assured,24530
Pension Term Assurance,Policy Holder,23575
Level Term,Policy Holder,23575
Lifetime Plus,Policy Holder,23196
Low Cost Endowment With Profits,Life Assured,22884
Surgery,Policy Holder,22878
Level Term,Life Assured,22383
Pension Term Assurance,Life Assured,22383
Endowment With Profit,Policy Holder,22110
Retirement account ( add. Contributions) with indexation option included,Policy Holder,21465
Practice Protector Plus,Policy Holder,20227
Practice Protector Plus,Life Assured,20227
Lifetime Plus,Life Assured,20149
Personal Pension Regular Premium,Life Assured,19775
Personal Pension Regular Premium,Policy Holder,19775
Select Investment Bond,Life Assured,19484
Select Investment Bond,Policy Holder,18973
Lifetime Account - Investment,Life Assured,18549
Joint life endowment policy with profits,Life Assured,18264
Lifetime Account Plus - Investment,Life Assured,17706
Retirement account ( add. Contributions) without indexation option,Payer,17665
Retirement account ( add. Contributions) with indexation option included,Annuitant,17605
Retirement account ( add. Contributions) with indexation option included,Payer,17229
Retirement account ( add. Contributions) without indexation option,Life Assured,16981
"Joint life, low cost endowment",Policy Holder,16977
Lifetime Account Plus - Investment,Policy Holder,16460
Retirement account ( add. Contributions) with indexation option included,Life Assured,16436
Medical Career Protector (Student),Policy Holder,16166
Medical Career Protector (Student),Life Assured,16166
Regular premium pensionbuilder for self employed or employees not in an occupational pension scheme,Annuitant,15935
Guaranteed Income Bond (90%),Policy Holder,15876
"Joint life, low cost endowment",Payer,15794
Lifetime Plus,Payer,15591
Guaranteed Income Bond (90%),Life Assured,15423
